Tier;Level;Ticket Cost;Ticket Reward;Clan XP Rewards;Player XP Reward;Dust Reward;Cards reward;Scroll Reward;Fortune Scroll Reward;Attacks Per Rest;Titan Base HP;Titan Count;Total HP;Titan Lord Type
3;5;1000;400;244;405;2976;118;10;1;4;88,200,000;8;706,000,000;Sterl,Mohaca,Terro
3;6;1000;400;250;415;3000;120;10;1;4;240,000,000;3;720,000,000;Sterl,Mohaca,Terro
3;7;1000;400;256;425;3024;122;11;1;4;110,000,000;7;770,000,000;Lojak,Mohaca,Terro
3;8;1000;400;262;435;3048;123;11;1;4;98,200,000;8;785,000,000;Jukk,Sterl,Terro
3;9;1000;400;268;445;3072;125;11;1;4;114,000,000;7;801,000,000;Takedar,Jukk,Sterl
3;10;1000;400;274;455;3096;126;11;1;4;214,000,000;4;857,000,000;Lojak,Takedar,Terro
3;11;1000;400;280;465;3120;128;11;1;4;289,000,000;3;866,000,000;Lojak,Takedar,Mohaca
3;12;1000;400;286;475;3144;130;11;1;4;219,000,000;4;875,000,000;Lojak,Takedar,Jukk
3;13;1000;400;292;485;3168;131;12;1;4;180,000,000;5;901,000,000;Lojak,Jukk,Mohaca
3;14;1000;400;298;495;3192;133;12;1;4;158,000,000;6;946,000,000;Lojak,Mohaca,Terro
3;15;1000;400;304;505;3216;134;12;1;4;253,000,000;4;1,010,000,000;Jukk,Mohaca,Terro
3;16;1000;400;310;515;3240;136;12;1;4;213,000,000;5;1,060,000,000;Lojak,Takedar,Sterl
3;17;1000;400;316;525;3264;138;12;1;4;372,000,000;3;1,120,000,000;Jukk,Sterl,Mohaca
3;18;1000;400;322;535;3288;139;12;1;4;293,000,000;4;1,170,000,000;Takedar,Sterl,Terro
3;19;1000;400;328;545;3312;141;13;1;4;161,000,000;8;1,290,000,000;Takedar,Jukk,Terro
3;20;1000;400;334;555;3336;142;13;1;4;177,000,000;8;1,420,000,000;Lojak,Takedar,Jukk
3;21;1000;400;340;565;3360;144;13;1;4;217,000,000;7;1,520,000,000;Lojak,Sterl,Mohaca
3;22;1000;400;346;575;3384;146;13;1;4;406,000,000;4;1,620,000,000;Jukk,Mohaca,Terro
3;23;1000;400;352;585;3408;147;13;1;4;426,000,000;4;1,700,000,000;Takedar,Mohaca,Terro
3;24;1000;400;358;595;3432;149;13;1;4;358,000,000;5;1,790,000,000;Lojak,Sterl,Terro
3;25;1000;400;364;605;3456;150;14;1;4;313,000,000;6;1,880,000,000;Lojak,Jukk,Sterl
3;26;1000;400;370;615;3480;152;14;1;4;689,000,000;3;2,070,000,000;Takedar,Jukk,Mohaca
3;27;1000;400;376;625;3504;154;14;1;4;455,000,000;5;2,270,000,000;Lojak,Jukk,Sterl
3;28;1000;400;382;635;3528;155;14;1;4;298,000,000;8;2,390,000,000;Takedar,Jukk,Mohaca
3;29;1000;400;388;645;3552;157;14;1;4;501,000,000;5;2,510,000,000;Takedar,Jukk,Terro
3;30;1000;400;394;655;3576;158;15;1;4;394,000,000;7;2,760,000,000;Lojak,Jukk,Terro​
